species,spcode,season.site,decade,num.nights.per.season,count,abun.class,abun.class.log,total.decade,total.count
Ichneutica atristriga,Ichatr,2021s,3,2,0,Common,2,53,525
Eudonia cataxesta,Eudcat,1961r,1,8,44,Common,2,283,504
Eudonia cataxesta,Eudcat,1961s,1,13,87,Common,2,283,504
Eudonia cataxesta,Eudcat,1962r,1,9,86,Common,2,283,504
Eudonia cataxesta,Eudcat,1962s,1,13,66,Common,2,283,504
Eudonia cataxesta,Eudcat,1987r,2,8,8,Common,2,73,504
Eudonia cataxesta,Eudcat,1987s,2,9,11,Common,2,73,504
Eudonia cataxesta,Eudcat,1988r,2,14,19,Common,2,73,504
Eudonia cataxesta,Eudcat,1988s,2,15,33,Common,2,73,504
Eudonia cataxesta,Eudcat,1989s,2,3,2,Common,2,73,504
Eudonia cataxesta,Eudcat,2020r,3,13,19,Common,2,148,504
Eudonia cataxesta,Eudcat,2020s,3,13,12,Common,2,148,504
Eudonia cataxesta,Eudcat,2021r,3,2,20,Common,2,148,504
Eudonia cataxesta,Eudcat,2021s,3,2,97,Common,2,148,504
Ichneutica moderata,Ichmod,1961r,1,8,39,Common,2,340,500
Ichneutica moderata,Ichmod,1961s,1,13,56,Common,2,340,500
Ichneutica moderata,Ichmod,1962r,1,9,90,Common,2,340,500
Ichneutica moderata,Ichmod,1962s,1,13,155,Common,2,340,500
Ichneutica moderata,Ichmod,1987r,2,8,23,Common,2,143,500
Ichneutica moderata,Ichmod,1987s,2,9,21,Common,2,143,500
Ichneutica moderata,Ichmod,1988r,2,14,27,Common,2,143,500
Ichneutica moderata,Ichmod,1988s,2,15,62,Common,2,143,500
Ichneutica moderata,Ichmod,1989s,2,3,10,Common,2,143,500
Ichneutica moderata,Ichmod,2020r,3,13,7,Common,2,17,500
Ichneutica moderata,Ichmod,2020s,3,13,7,Common,2,17,500
Ichneutica moderata,Ichmod,2021r,3,2,2,Common,2,17,500
Ichneutica moderata,Ichmod,2021s,3,2,1,Common,2,17,500
Persectania aversa,Perave,1961r,1,8,38,Common,2,392,463
Persectania aversa,Perave,1961s,1,13,128,Common,2,392,463
Persectania aversa,Perave,1962r,1,9,131,Common,2,392,463
Persectania aversa,Perave,1962s,1,13,95,Common,2,392,463
Persectania aversa,Perave,1987r,2,8,3,Common,2,64,463
Persectania aversa,Perave,1987s,2,9,9,Common,2,64,463
Persectania aversa,Perave,1988r,2,14,18,Common,2,64,463
Persectania aversa,Perave,1988s,2,15,31,Common,2,64,463
Persectania aversa,Perave,1989s,2,3,3,Common,2,64,463
Persectania aversa,Perave,2020r,3,13,1,Common,2,7,463
Persectania aversa,Perave,2020s,3,13,5,Common,2,7,463
Persectania aversa,Perave,2021r,3,2,0,Common,2,7,463
Persectania aversa,Perave,2021s,3,2,1,Common,2,7,463
Eudonia steropaea,Eudste,1961r,1,8,1,Common,2,192,460
Eudonia steropaea,Eudste,1961s,1,13,41,Common,2,192,460
Eudonia steropaea,Eudste,1962r,1,9,12,Common,2,192,460
Eudonia steropaea,Eudste,1962s,1,13,138,Common,2,192,460
Eudonia steropaea,Eudste,1987r,2,8,1,Common,2,216,460
Eudonia steropaea,Eudste,1987s,2,9,82,Common,2,216,460
Eudonia steropaea,Eudste,1988r,2,14,8,Common,2,216,460
Eudonia steropaea,Eudste,1988s,2,15,125,Common,2,216,460
Eudonia steropaea,Eudste,1989s,2,3,0,Common,2,216,460
Eudonia steropaea,Eudste,2020r,3,13,10,Common,2,52,460
Eudonia steropaea,Eudste,2020s,3,13,42,Common,2,52,460
Eudonia steropaea,Eudste,2021r,3,2,0,Common,2,52,460
Eudonia steropaea,Eudste,2021s,3,2,0,Common,2,52,460
Physetica cucullina,Phycuc,1961r,1,8,0,Common,2,288,452
Physetica cucullina,Phycuc,1961s,1,13,0,Common,2,288,452
Physetica cucullina,Phycuc,1962r,1,9,92,Common,2,288,452
Physetica cucullina,Phycuc,1962s,1,13,196,Common,2,288,452
Physetica cucullina,Phycuc,1987r,2,8,1,Common,2,152,452
Physetica cucullina,Phycuc,1987s,2,9,27,Common,2,152,452
Physetica cucullina,Phycuc,1988r,2,14,14,Common,2,152,452
Physetica cucullina,Phycuc,1988s,2,15,95,Common,2,152,452
Physetica cucullina,Phycuc,1989s,2,3,15,Common,2,152,452
Physetica cucullina,Phycuc,2020r,3,13,0,Common,2,12,452
Physetica cucullina,Phycuc,2020s,3,13,0,Common,2,12,452
Physetica cucullina,Phycuc,2021r,3,2,5,Common,2,12,452
Physetica cucullina,Phycuc,2021s,3,2,7,Common,2,12,452
Scoparia ejuncida,Scoeju,1961r,1,8,23,Common,2,356,372
Scoparia ejuncida,Scoeju,1961s,1,13,190,Common,2,356,372
Scoparia ejuncida,Scoeju,1962r,1,9,62,Common,2,356,372
Scoparia ejuncida,Scoeju,1962s,1,13,81,Common,2,356,372
Scoparia ejuncida,Scoeju,1987r,2,8,2,Common,2,16,372
Scoparia ejuncida,Scoeju,1987s,2,9,8,Common,2,16,372
Scoparia ejuncida,Scoeju,1988r,2,14,1,Common,2,16,372
Scoparia ejuncida,Scoeju,1988s,2,15,5,Common,2,16,372
Scoparia ejuncida,Scoeju,1989s,2,3,0,Common,2,16,372
Scoparia ejuncida,Scoeju,2020r,3,13,0,Common,2,0,372
Scoparia ejuncida,Scoeju,2020s,3,13,0,Common,2,0,372
Scoparia ejuncida,Scoeju,2021r,3,2,0,Common,2,0,372
Scoparia ejuncida,Scoeju,2021s,3,2,0,Common,2,0,372
Ichneutica agorastis,Ichago,1961r,1,8,3,Common,2,68,359
Ichneutica agorastis,Ichago,1961s,1,13,44,Common,2,68,359
Ichneutica agorastis,Ichago,1962r,1,9,8,Common,2,68,359
Ichneutica agorastis,Ichago,1962s,1,13,13,Common,2,68,359
Ichneutica agorastis,Ichago,1987r,2,8,11,Common,2,280,359
Ichneutica agorastis,Ichago,1987s,2,9,84,Common,2,280,359
Ichneutica agorastis,Ichago,1988r,2,14,32,Common,2,280,359
Ichneutica agorastis,Ichago,1988s,2,15,153,Common,2,280,359
Ichneutica agorastis,Ichago,1989s,2,3,0,Common,2,280,359
Ichneutica agorastis,Ichago,2020r,3,13,3,Common,2,11,359
Ichneutica agorastis,Ichago,2020s,3,13,8,Common,2,11,359
Ichneutica agorastis,Ichago,2021r,3,2,0,Common,2,11,359
Ichneutica agorastis,Ichago,2021s,3,2,0,Common,2,11,359
Eudonia feredayi,Eudfer,1961r,1,8,5,Common,2,199,325
Eudonia feredayi,Eudfer,1961s,1,13,87,Common,2,199,325
Eudonia feredayi,Eudfer,1962r,1,9,43,Common,2,199,325
Eudonia feredayi,Eudfer,1962s,1,13,64,Common,2,199,325
Eudonia feredayi,Eudfer,1987r,2,8,18,Common,2,116,325
Eudonia feredayi,Eudfer,1987s,2,9,25,Common,2,116,325
Eudonia feredayi,Eudfer,1988r,2,14,48,Common,2,116,325
Eudonia feredayi,Eudfer,1988s,2,15,25,Common,2,116,325
Eudonia feredayi,Eudfer,1989s,2,3,0,Common,2,116,325
Eudonia feredayi,Eudfer,2020r,3,13,2,Common,2,10,325
Eudonia feredayi,Eudfer,2020s,3,13,8,Common,2,10,325
Eudonia feredayi,Eudfer,2021r,3,2,0,Common,2,10,325
Eudonia feredayi,Eudfer,2021s,3,2,0,Common,2,10,325
Helastia corcularia,Helcor,1961r,1,8,43,Common,2,191,263
Helastia corcularia,Helcor,1961s,1,13,69,Common,2,191,263
Helastia corcularia,Helcor,1962r,1,9,48,Common,2,191,263
Helastia corcularia,Helcor,1962s,1,13,31,Common,2,191,263
Helastia corcularia,Helcor,1987r,2,8,1,Common,2,27,263
Helastia corcularia,Helcor,1987s,2,9,3,Common,2,27,263
Helastia corcularia,Helcor,1988r,2,14,10,Common,2,27,263
Helastia corcularia,Helcor,1988s,2,15,11,Common,2,27,263
Helastia corcularia,Helcor,1989s,2,3,2,Common,2,27,263
Helastia corcularia,Helcor,2020r,3,13,18,Common,2,45,263
Helastia corcularia,Helcor,2020s,3,13,7,Common,2,45,263
Helastia corcularia,Helcor,2021r,3,2,18,Common,2,45,263
Helastia corcularia,Helcor,2021s,3,2,2,Common,2,45,263
Ichneutica lithias,Ichlit,1961r,1,8,12,Common,2,137,254
Ichneutica lithias,Ichlit,1961s,1,13,64,Common,2,137,254
Ichneutica lithias,Ichlit,1962r,1,9,28,Common,2,137,254
Ichneutica lithias,Ichlit,1962s,1,13,33,Common,2,137,254
Ichneutica lithias,Ichlit,1987r,2,8,3,Common,2,76,254
Ichneutica lithias,Ichlit,1987s,2,9,5,Common,2,76,254
Ichneutica lithias,Ichlit,1988r,2,14,26,Common,2,76,254
Ichneutica lithias,Ichlit,1988s,2,15,42,Common,2,76,254
Ichneutica lithias,Ichlit,1989s,2,3,0,Common,2,76,254
Ichneutica lithias,Ichlit,2020r,3,13,8,Common,2,41,254
Ichneutica lithias,Ichlit,2020s,3,13,30,Common,2,41,254
Ichneutica lithias,Ichlit,2021r,3,2,2,Common,2,41,254
Ichneutica lithias,Ichlit,2021s,3,2,1,Common,2,41,254
Eudonia leptalaea,Eudlep,1961r,1,8,53,Common,2,147,251
Eudonia leptalaea,Eudlep,1961s,1,13,10,Common,2,147,251
Eudonia leptalaea,Eudlep,1962r,1,9,71,Common,2,147,251
Eudonia leptalaea,Eudlep,1962s,1,13,13,Common,2,147,251
Eudonia leptalaea,Eudlep,1987r,2,8,9,Common,2,72,251
Eudonia leptalaea,Eudlep,1987s,2,9,10,Common,2,72,251
Eudonia leptalaea,Eudlep,1988r,2,14,13,Common,2,72,251
Eudonia leptalaea,Eudlep,1988s,2,15,40,Common,2,72,251
Eudonia leptalaea,Eudlep,1989s,2,3,0,Common,2,72,251
Eudonia leptalaea,Eudlep,2020r,3,13,23,Common,2,32,251
Eudonia leptalaea,Eudlep,2020s,3,13,5,Common,2,32,251
Eudonia leptalaea,Eudlep,2021r,3,2,3,Common,2,32,251
Eudonia leptalaea,Eudlep,2021s,3,2,1,Common,2,32,251
Coleophora alcyonipennella,Colalc,1961r,1,8,55,Common,2,248,248
Coleophora alcyonipennella,Colalc,1961s,1,13,1,Common,2,248,248
Coleophora alcyonipennella,Colalc,1962r,1,9,141,Common,2,248,248
Coleophora alcyonipennella,Colalc,1962s,1,13,51,Common,2,248,248
Coleophora alcyonipennella,Colalc,1987r,2,8,0,Common,2,0,248
Coleophora alcyonipennella,Colalc,1987s,2,9,0,Common,2,0,248
Coleophora alcyonipennella,Colalc,1988r,2,14,0,Common,2,0,248
Coleophora alcyonipennella,Colalc,1988s,2,15,0,Common,2,0,248
Coleophora alcyonipennella,Colalc,1989s,2,3,0,Common,2,0,248
Coleophora alcyonipennella,Colalc,2020r,3,13,0,Common,2,0,248
Coleophora alcyonipennella,Colalc,2020s,3,13,0,Common,2,0,248
Coleophora alcyonipennella,Colalc,2021r,3,2,0,Common,2,0,248
Coleophora alcyonipennella,Colalc,2021s,3,2,0,Common,2,0,248
Ichneutica unica,Ichuni,1961r,1,8,0,Common,2,48,229
Ichneutica unica,Ichuni,1961s,1,13,14,Common,2,48,229
Ichneutica unica,Ichuni,1962r,1,9,19,Common,2,48,229
Ichneutica unica,Ichuni,1962s,1,13,15,Common,2,48,229
Ichneutica unica,Ichuni,1987r,2,8,8,Common,2,153,229
Ichneutica unica,Ichuni,1987s,2,9,30,Common,2,153,229
Ichneutica unica,Ichuni,1988r,2,14,25,Common,2,153,229
Ichneutica unica,Ichuni,1988s,2,15,90,Common,2,153,229
Ichneutica unica,Ichuni,1989s,2,3,0,Common,2,153,229
Ichneutica unica,Ichuni,2020r,3,13,12,Common,2,28,229
Ichneutica unica,Ichuni,2020s,3,13,15,Common,2,28,229
Ichneutica unica,Ichuni,2021r,3,2,1,Common,2,28,229
Ichneutica unica,Ichuni,2021s,3,2,0,Common,2,28,229
Ichneutica lignana,Ichlig,1961r,1,8,19,Common,2,135,198
Ichneutica lignana,Ichlig,1961s,1,13,61,Common,2,135,198
Ichneutica lignana,Ichlig,1962r,1,9,16,Common,2,135,198
Ichneutica lignana,Ichlig,1962s,1,13,39,Common,2,135,198
Ichneutica lignana,Ichlig,1987r,2,8,2,Common,2,50,198
Ichneutica lignana,Ichlig,1987s,2,9,0,Common,2,50,198
Ichneutica lignana,Ichlig,1988r,2,14,19,Common,2,50,198
Ichneutica lignana,Ichlig,1988s,2,15,29,Common,2,50,198
Ichneutica lignana,Ichlig,1989s,2,3,0,Common,2,50,198
Ichneutica lignana,Ichlig,2020r,3,13,2,Common,2,13,198
Ichneutica lignana,Ichlig,2020s,3,13,11,Common,2,13,198
Ichneutica lignana,Ichlig,2021r,3,2,0,Common,2,13,198
Ichneutica lignana,Ichlig,2021s,3,2,0,Common,2,13,198
Wiseana copularis,Wiscop,1961r,1,8,11,Common,2,113,195
Wiseana copularis,Wiscop,1961s,1,13,2,Common,2,113,195
Wiseana copularis,Wiscop,1962r,1,9,92,Common,2,113,195
Wiseana copularis,Wiscop,1962s,1,13,8,Common,2,113,195
Wiseana copularis,Wiscop,1987r,2,8,47,Common,2,80,195
Wiseana copularis,Wiscop,1987s,2,9,21,Common,2,80,195
Wiseana copularis,Wiscop,1988r,2,14,11,Common,2,80,195
Wiseana copularis,Wiscop,1988s,2,15,1,Common,2,80,195
Wiseana copularis,Wiscop,1989s,2,3,0,Common,2,80,195
Wiseana copularis,Wiscop,2020r,3,13,0,Common,2,2,195
Wiseana copularis,Wiscop,2020s,3,13,0,Common,2,2,195
Wiseana copularis,Wiscop,2021r,3,2,0,Common,2,2,195
Wiseana copularis,Wiscop,2021s,3,2,2,Common,2,2,195
Eudonia axena,Eudaxe,1961r,1,8,0,Common,2,177,186
Eudonia axena,Eudaxe,1961s,1,13,5,Common,2,177,186
Eudonia axena,Eudaxe,1962r,1,9,12,Common,2,177,186
